Started logging on 2023-09-05 09:23:55.719937
Listening on COM3
Received: X: 0, Y: 0, Button: 0 at 2023-09-05 09:23:55.727861
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.729852
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.731865
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.733864
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.736355
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.738850
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.740849
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.743848
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.759464
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.761439
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.776835
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.780958
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.784965
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.789012
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.829903
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.833572
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.838574
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.841570
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.845865
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.928975
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.932007
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.936007
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.940007
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.944009
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.948005
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.952168
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.961006
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.963002
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:55.966021
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.079148
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.083148
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.090674
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.095717
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.099885
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.104424
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.108420
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.112429
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.116434
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.123954
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.136956
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.141176
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.144964
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.149250
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.152968
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.156964
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.185829
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.189886
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.193951
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.197827
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.201827
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.206828
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.210074
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.215076
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.219077
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.223073
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.227072
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.230905
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.234905
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.238905
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.242907
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.246905
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.251847
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.256071
